,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,host_is_superhost,property_type,bedrooms,beds,guests_included,review_scores_rating,instant_bookable,bathrooms,security_deposit,cleaning_fee,len_amenities
1703,16407251,"Master room on high floor, pool/gym",7353142,Rachel,Central Region,Toa Payoh,1.34245,103.84201999999999,Private room,60,1,17,0.4,1,0,f,Apartment,1.0,1.0,1,97.0,t,1.0,0.0,0.0,14
1704,16407722,"COSY Room, QUIET area, 8min to CBD, great VALUE!!!",10510477,Robert,Central Region,Toa Payoh,1.3296700000000001,103.86815,Private room,55,3,2,0.05,1,0,f,Apartment,1.0,1.0,1,100.0,t,1.0,140.0,10.0,16
1705,16407773,1BR Suite in Chinatown/CBD above MRT (#65),107501827,Mich,Central Region,Outram,1.28146,103.84875,Entire home/apt,190,3,101,2.37,9,31,t,Condominium,1.0,1.0,2,96.0,t,1.0,250.0,60.0,37
1706,16408793,♥♥Family 2BR Suite Spacious & Good Location (msl1),31464513,Darcy,Central Region,Kallang,1.3287200000000001,103.86627,Hotel room,208,14,2,0.1,95,272,f,Serviced apartment,2.0,2.0,4,100.0,t,1.5,200.0,50.0,19
1707,16411839,1 Bedroom Apartment (Walk to Aljunied MRT),14521708,Shirley,Central Region,Geylang,1.31406,103.88807,Entire home/apt,80,90,60,1.43,25,174,f,Apartment,1.0,1.0,1,96.0,f,1.0,500.0,0.0,16
1708,16412115,1 bedroom with balcony (Walk to Aljunied MRT),14521708,Shirley,Central Region,Geylang,1.31356,103.88717,Entire home/apt,95,90,35,1.04,25,192,f,Apartment,1.0,1.0,1,97.0,f,1.0,500.0,0.0,16
1709,16412556,Cosy 1 Bedroom apartment,14521708,Shirley,Central Region,Geylang,1.31377,103.88733,Entire home/apt,88,90,30,0.72,25,180,f,Apartment,1.0,1.0,1,97.0,f,1.0,500.0,0.0,16
1710,16413787,Comfortable common room near Woodlands Checkpoint,106813408,Siew,North Region,Woodlands,1.44374,103.77797,Private room,38,1,0,0.0,1,0,f,Apartment,1.0,1.0,2,0.0,f,1.0,0.0,10.0,14
1711,16417299,City Apartment Rm w/ BathRoom @ Orchard_10,97206233,Julie,Central Region,Orchard,1.30375,103.83339000000001,Private room,159,1,15,0.35,11,364,f,Apartment,1.0,2.0,1,89.0,f,1.0,0.0,0.0,9
1712,16418916,City Apartment Rm w/  2 Beds @ Orchard_6,97206233,Julie,Central Region,Orchard,1.3034700000000001,103.83505,Private room,89,1,23,0.57,11,365,f,Apartment,1.0,1.0,1,84.0,f,0.0,0.0,0.0,9
1713,16421683,Luxury condo junior master ensuite - Redhill MRT,107642461,Frank,Central Region,Bukit Merah,1.28915,103.82056,Private room,217,5,0,0.0,1,0,f,Apartment,1.0,0.0,1,0.0,t,1.5,300.0,60.0,12
1714,16425946,"Spacious central Master bedroom, ensuite bathroom",55374796,Jason,Central Region,Outram,1.28185,103.84538,Private room,130,2,5,0.12,1,0,f,Apartment,1.0,1.0,1,100.0,f,1.0,0.0,20.0,18
1715,16427874,"Price Slashed, City, 23-Person, Min 7 day(2D)",12067440,Tommy,Central Region,Kallang,1.3117,103.86028,Private room,157,1,17,0.42,14,264,f,Hostel,1.0,2.0,3,95.0,f,4.0,0.0,0.0,13
1716,16428014,"Price Slashed, City, 23-Person, Min 7 days(1B)",12067440,Tommy,Central Region,Kallang,1.3117,103.86028,Private room,56,1,60,1.43,14,1,f,Loft,1.0,1.0,1,94.0,f,4.0,0.0,0.0,17
1717,16429519,"Price Slashed, City, 23-Person, Min 7 day(1E)",12067440,Tommy,Central Region,Kallang,1.3117,103.86028,Private room,78,1,43,1.02,14,264,f,Hostel,1.0,1.0,1,91.0,f,4.0,0.0,0.0,15
1718,16435779,Room with River View,25205011,May,Central Region,Kallang,1.3128600000000001,103.86851999999999,Private room,130,2,47,1.28,1,20,f,Apartment,1.0,2.0,4,96.0,f,1.0,0.0,0.0,10
